Site,Date,Date2,Date3,Time,Solar Energy
Forest Road,09/12/2013,09/12/2020,09/12/2021,10:00 PM,0
Forest Road,09/12/2013,09/12/2020,09/12/2021,10:30 PM,0
Forest Road,09/12/2013,09/12/2020,09/12/2021,11:00 PM,0
Forest Road,09/12/2013,09/12/2020,09/12/2021,11:30 PM,0
Forest Road,10/12/2013,10/12/2020,10/12/2021,12:00 AM,0
Forest Road,10/12/2013,10/12/2020,10/12/2021,12:30 AM,0
Forest Road,10/12/2013,10/12/2020,10/12/2021,1:00 AM,0
Forest Road,10/12/2013,10/12/2020,10/12/2021,1:30 AM,0
Forest Road,10/12/2013,10/12/2020,10/12/2021,2:00 AM,0
Forest Road,10/12/2013,10/12/2020,10/12/2021,2:30 AM,0
Forest Road,10/12/2013,10/12/2020,10/12/2021,3:00 AM,0
Forest Road,10/12/2013,10/12/2020,10/12/2021,3:30 AM,0
Forest Road,10/12/2013,10/12/2020,10/12/2021,4:00 AM,0
Forest Road,10/12/2013,10/12/2020,10/12/2021,4:30 AM,0
Forest Road,10/12/2013,10/12/2020,10/12/2021,5:00 AM,0
Forest Road,10/12/2013,10/12/2020,10/12/2021,5:30 AM,0
Forest Road,10/12/2013,10/12/2020,10/12/2021,6:00 AM,0
Forest Road,10/12/2013,10/12/2020,10/12/2021,6:30 AM,0
Forest Road,10/12/2013,10/12/2020,10/12/2021,7:00 AM,0
Forest Road,10/12/2013,10/12/2020,10/12/2021,7:30 AM,0
Forest Road,10/12/2013,10/12/2020,10/12/2021,8:00 AM,0.09
Forest Road,10/12/2013,10/12/2020,10/12/2021,8:30 AM,0.69
Forest Road,10/12/2013,10/12/2020,10/12/2021,9:00 AM,1.51
Forest Road,10/12/2013,10/12/2020,10/12/2021,9:30 AM,2.37
Forest Road,10/12/2013,10/12/2020,10/12/2021,10:00 AM,3.23
Forest Road,10/12/2013,10/12/2020,10/12/2021,10:30 AM,3.87
Forest Road,10/12/2013,10/12/2020,10/12/2021,11:00 AM,5.03
Forest Road,10/12/2013,10/12/2020,10/12/2021,11:30 AM,5.07
Forest Road,10/12/2013,10/12/2020,10/12/2021,12:00 PM,6.45
Forest Road,10/12/2013,10/12/2020,10/12/2021,12:30 PM,8.47
Forest Road,10/12/2013,10/12/2020,10/12/2021,1:00 PM,7.78
Forest Road,10/12/2013,10/12/2020,10/12/2021,1:30 PM,6.54
Forest Road,10/12/2013,10/12/2020,10/12/2021,2:00 PM,4.95
